,Currency,Exchange_Rate
0,AED,3.673
1,AFN,87.59
2,ALL,115.945
3,AMD,405.547
4,ANG,1.801
5,AOA,430.953
6,ARS,126.74
7,AUD,1.458
8,AWG,1.793
9,AZN,1.7
10,BAM,1.92
11,BBD,2.0
12,BDT,93.504
13,BGN,1.922
14,BHD,0.377
15,BIF,2050.657
16,BMD,1.0
17,BND,1.395
18,BOB,6.887
19,BRL,5.255
20,BSD,1.0
21,BTC,5e-05
22,BTN,78.884
23,BWP,12.617
24,BYN,3.388
25,BZD,2.015
26,CAD,1.294
27,CDF,1991.026
28,CHF,0.977
29,CLF,0.0353
30,CLP,974.11
31,CNH,6.684
32,CNY,6.695
33,COP,4374.963
34,CRC,686.748
35,CUC,1.0
36,CUP,25.75
37,CVE,108.314
38,CZK,24.192
39,DJF,177.212
40,DKK,7.304
41,DOP,54.562
42,DZD,146.703
43,EGP,18.86
44,ERN,15.0
45,ETB,52.147
46,EUR,0.982
47,FJD,2.211
48,FKP,0.831
49,GBP,0.831
50,GEL,2.94
51,GGP,0.831
52,GHS,8.013
53,GIP,0.831
54,GMD,54.061
55,GNF,8681.01
56,GTQ,7.746
57,GYD,209.167
58,HKD,7.849
59,HNL,24.492
60,HRK,7.38
61,HTG,115.347
62,HUF,397.725
63,IDR,14976.95
64,ILS,3.459
65,IMP,0.831
66,INR,79.327
67,IQD,1452.857
68,IRR,42350.0
69,ISK,136.97
70,JEP,0.831
71,JMD,150.208
72,JOD,0.709
73,JPY,136.09
74,KES,118.09
75,KGS,82.645
76,KHR,4058.425
77,KMF,473.855
78,KPW,900.0
79,KRW,1294.79
80,KWD,0.307
81,KYD,0.833
82,KZT,471.595
83,LAK,15048.43
84,LBP,1505.156
85,LKR,362.84
86,LRD,152.395
87,LSL,16.85
88,LYD,4.851
89,MAD,10.135
90,MDL,19.187
91,MGA,4074.34
92,MKD,60.496
93,MMK,1852.102
94,MNT,3134.374
95,MOP,8.086
96,MRO,357.0
97,MRU,36.563
98,MUR,45.641
99,MVR,15.51
100,MWK,1021.759
101,MXN,20.468
102,MYR,4.426
103,MZN,63.855
104,NAD,16.283
105,NGN,417.84
106,NIO,35.722
107,NOK,10.067
108,NPR,126.215
109,NZD,1.614
110,OMR,0.385
111,PAB,1.0
112,PEN,3.872
113,PGK,3.553
114,PHP,55.83
115,PKR,206.41
116,PLN,4.688
117,PYG,6841.674
118,QAR,3.642
119,RON,4.858
120,RSD,115.27
121,RUB,65.0
122,RWF,1026.157
123,SAR,3.754
124,SBD,8.145
125,SCR,13.203
126,SDG,456.481
127,SEK,10.49
128,SGD,1.398
129,SHP,0.831
130,SLL,13553.77
131,SOS,575.846
132,SRD,22.449
133,SSP,130.26
134,STD,21980.49
135,STN,23.702
136,SVC,8.745
137,SYP,2512.53
138,SZL,16.85
139,THB,35.852
140,TJS,10.467
141,TMT,3.502
142,TND,3.09
143,TOP,2.353
144,TRY,17.273
145,TTD,6.783
146,TWD,29.764
147,TZS,2333.0
148,UAH,29.528
149,UGX,3740.88
150,UYU,40.28
151,UZS,10870.69
152,VND,23356.3
153,VUV,117.553
154,WST,2.683
155,XAF,643.932
156,XAG,0.0518
157,XAU,0.000574
158,XCD,2.703
159,XDR,0.734
160,XOF,643.932
161,XPD,0.000465
162,XPF,117.144
163,XPT,0.00111
164,YER,250.271
165,ZAR,16.821
166,ZMW,16.251
167,ZWL,322.0
168,VES,5.547
0,USD,1.0
